No,Nama Barang,Brand,Kode Barang,Beginning Stock,Stock In,Stock Out,Current Stock,Ending stock,Minimum Stock
28-May-1900,Offline Clinic - Bur Carbide Lowspeed Round HP-7,SS white,IMP-BCLR7,3,4,5,2,,1
29-May-1900,Offline Clinic - Bur Carbide Lowspeed Fissure HP-701,SS white,IMP-BCLF701,3,27,27,3,,1
06-Jun-1900,Offline Clinic - Bur Carbide Lowspeed Fissure HP-702,SS white,IMP-BCLF702,2,2,1,3,,
31-May-1900,Offline Clinic - Komposite Packable Gum-O Ceramage Opaque Plus 2ml,Shofu,IMP-KPGO2,2,5,5,2,,1
01-Jun-1900,Offline Clinic - Komposite Packable Pre-Opaque Ceramage Opaque Plus 2ml,Shofu,IMP-KPPO2,2,2,3,1,,1
02-Jun-1900,Offline Clinic - Komposite Flow Ceramage Opaque Plus WO 2ml,Shofu,IMP-KFWO2,2,8,9,1,,1
03-Jun-1900,Offline Clinic - Komposite Packable Gum-D Ceramage Up 5g,Shofu,IMP-KPGD5,2,0,2,0,,1
04-Jun-1900,Offline Clinic - IPS Object Fix Flow 10ml,Ivoclar,IMP-IOFF10,5,40,43,2,,2
05-Jun-1900,Offline Clinic - Bur Disc Cutting Diamond For Zircon 10mm 945B 104 100 Komet,komet,IMP-BDCM10,3,23,24,2,,1
06-Jun-1900,San-I dental separating disc,San-I,No data,74,500,529,45,,30
07-Jun-1900,Milling Bur D3X0.6 For Zirconia - Cradle A52,Cradle,No data,1,5,3,3,,
08-Jun-1900,Milling Bur D3X1.0 For Zirconia - Cradle A52,Cradle,No data,1,16,13,4,,
09-Jun-1900,Milling Bur D3X2.0 For Zirconia - Cradle A52,Cradle,No data,1,11,9,3,,
10-Jun-1900,Offline Clinic - Connector Bur,No Brand,IMP-CNTBR,5,32,26,11,,
11-Jun-1900,Offline Clinic - Mandril Amplas,No Brand,IMP-MAAP,5,15,14,6,,
12-Jun-1900,Disc PMMA D98x22 A1,No Brand,RMT-141,2,9,9,2,0.00,
13-Jun-1900,Disc PMMA D98x25 A1,No Brand,RMT-142,2,3,3,2,2.00,
14-Jun-1900,Disc PMMA D98x22 A2,No Brand,RMT-143,2,8,8,2,0.00,
15-Jun-1900,Disc PMMA D98x25 A2,No Brand,RMT-144,2,8,8,2,1.29,
16-Jun-1900,Disc PMMA D98x22 A3,No Brand,RMT-145,2,4,3,3,1.67,
17-Jun-1900,Disc PMMA D98x25 A3,No Brand,RMT-146,2,0,0,2,2.00,
18-Jun-1900,Disc PMMA D98x22 OM 1,No Brand,RMT-147,2,7,7,2,2.00,
19-Jun-1900,Disc PMMA D98x25 OM 1,No Brand,RMT-148,2,5,4,3,2.00,
20-Jun-1900,Disc PMMA D98x18 A1,No Brand,No data,1,17,15,3,,
21-Jun-1900,Disc PMMA D98x18 A2,No Brand,No data,1,12,11,2,,
22-Jun-1900,Disc PMMA D98x18 A3,No Brand,No data,1,4,3,2,,
23-Jun-1900,Deprag Disc Zircone 3D Pro ML D98x16 BL2,No Brand,No data,1,2,1,2,,
24-Jun-1900,Deprag Disc Zircone 3D Pro ML D98x16 BL3,No Brand,No data,1,4,4,1,,
25-Jun-1900,Deprag Disc Zircone 3D Pro ML D98x16 BL4,No Brand,No data,2,2,2,2,,
26-Jun-1900,Deprag Disc Zircone 3D Pro ML D98x16 BL1,Deprag,No data,2,0,2,0,,
27-Jun-1900,Deprag Disc Zircone 3D Pro ML D98x25 BL1,Deprag,No data,2,0,0,2,,
28-Jun-1900,Azdent Dental Diamond Bur SI-47 For Veneer,Azdent,VNR-213,5,7,11,1,,
29-Jun-1900,Azdent Dental Diamond Bur SI-48 For Veneer,Azdent,VNR-214,5,10,15,0,,
30-Jun-1900,Azdent Dental Diamond Bur SI-45 For Veneer,Azdent,VNR-215,5,7,8,4,,
01-Jul-1900,Silicone Polisher Porcelain And Metal Renfert,mani,IMP-SPPM100,100,0,3,97,,
02-Jul-1900,Connector Mandril,mani,IMP-CNRML,7,5,6,6,,
03-Jul-1900,Offline Clinic - Hex Driver 1.2 OSS,No Brand,IMP-HEDR12,3,6,8,1,,
04-Jul-1900,Offline Clinic - Bur Separating Disk Double Side H 345 220 Horico,Horico,IMP-BSDD220,9,0,5,4,,
05-Jul-1900,Offline Clinic - Milling Bur D1.0X0.4 For PMMA,No Brand,IMP-MBPM1004,3,3,3,3,,
06-Jul-1900,Offline Clinic - Milling Bur D2.0X0.4 For PMMA,No Brand,IMP-MBPM2004,3,2,2,3,,
07-Jul-1900,Offline Clinic - Resin Glaze Liquid 6ml - Shofu,Shofu,IMP-RGLS6,2,8,8,2,,
08-Jul-1900,Offline Clinic - Lab Analog (M) Welldent For OST,Welldent,IMP-LAOM,10,10,7,13,,
09-Jul-1900,Offline Clinic - Fine Bur HP 863 104 012 Flame Long Komet,No Brand,No data,6,15,19,2,,
10-Jul-1900,Offline Clinic - Denture Base Polymers Huge Powder HC - Shade V 1 Kg,No Brand,IMP-HCSV1,0,5,5,0,,
11-Jul-1900,Offline Clinic - Heat Cured Resin for Dentur Base Liquid 1L,No Brand,IMP-HCRL1,0,4,4,0,,
12-Jul-1900,Offline Clinic - Plastik Wrapping 10cmx200cm,No Brand,IMP-PLWP1020,0,2,2,0,,
13-Jul-1900,Offline Clinic - Renfert Lay:Art Style Ceramic Brush - Natural Bristle Size 6 Slim,Renfert,IMP-RLCB6,2,0,0,2,,
14-Jul-1900,Offline Clinic - Renfert Takanishi Ceramic Brush - Synthetic Bristle 1714/2,Renfert,IMP-RTCB17142,2,2,3,1,,
15-Jul-1900,Offline Clinic - Renfert Takanishi Ceramic Brush - Synthetic Bristle 1714/0200,Renfert,IMP-RTCB17140200,2,0,0,2,,
16-Jul-1900,ELEMEN GIGI LOWER L7 W.O5 ANTERIOR,Naperce,RMT-106,22,0,0,22,22.00,
17-Jul-1900,ELEMEN GIGI LOWER L8 B1 ANTERIOR,Naperce,RMT-103,0,16,1,15,8.00,
18-Jul-1900,ELEMEN GIGI LOWER L7 A1 ANTERIOR,Naperce,RMT-134,10,0,1,9,13.00,
19-Jul-1900,ELEMEN GIGI LOWER L10 A1 ANTERIOR,Naperce,No Code,16,0,0,16,,
20-Jul-1900,ELEMEN GIGI LOWER L7 A2 ANTERIOR,Naperce,RMT-070,11,0,2,9,18.00,
21-Jul-1900,ELEMEN GIGI LOWER L8 A2 ANTERIOR,Naperce,RMT-072,5,0,4,1,,
22-Jul-1900,ELEMEN GIGI LOWER L10 A2 ANTERIOR,Naperce,No Code,15,0,0,15,,
23-Jul-1900,ELEMEN GIGI LOWER L7 A3 ANTERIOR,Naperce,RMT-071,10,0,5,5,15.00,
24-Jul-1900,ELEMEN GIGI LOWER L8 A3 ANTERIOR,Naperce,RMT-073,17,0,5,12,11.00,
25-Jul-1900,ELEMEN GIGI LOWER L7 A3.5 ANTERIOR,Naperce,RMT-109,17,0,2,15,5.00,
26-Jul-1900,ELEMEN GIGI LOWER L8 A3.5 ANTERIOR,Naperce,RMT-074,2,14,5,11,9.00,
27-Jul-1900,ELEMEN GIGI LOWER L8 A4 ANTERIOR,Naperce,RMT-075,22,0,2,20,28.00,
28-Jul-1900,ELEMEN GIGI LOWER L8 C3 ANTERIOR,Naperce,RMT-076,27,0,3,24,33.00,
29-Jul-1900,ELEMEN GIGI LOWER L8 C4 ANTERIOR,Naperce,No Code,15,0,0,15,,
30-Jul-1900,ELEMEN GIGI LOWER L8 A1 ANTERIOR,Naperce,No Code,16,0,1,15,,
31-Jul-1900,ELEMEN GIGI LOWER L10 A3 ANTERIOR,Naperce,RMT-077,22,0,2,20,8.00,
01-Aug-1900,ELEMEN GIGI UPPER T6 C4 ANTERIOR,Naperce,No Code,8,0,0,8,,
02-Aug-1900,ELEMEN GIGI UPPER TL6 C3 ANTERIOR,Naperce,No Code,10,0,0,10,,
03-Aug-1900,ELEMEN GIGI UPPER T5 W.O5 ANTERIOR,Naperce,RMT-105,12,0,0,12,13.00,
04-Aug-1900,ELEMEN GIGI UPPER S8 W.O5 ANTERIOR,Naperce,RMT-151,11,0,0,11,,
05-Aug-1900,ELEMEN GIGI UPPER T6 B1 ANTERIOR,Naperce,RMT-101,20,0,1,19,13.00,
06-Aug-1900,ELEMEN GIGI UPPER T6 A1 ANTERIOR,Naperce,RMT-132,26,16,2,40,5.00,
07-Aug-1900,ELEMEN GIGI UPPER S8 A1 ANTERIOR,Naperce,No Code,14,0,2,12,,
08-Aug-1900,ELEMEN GIGI UPPER T4 A2 ANTERIOR,Naperce,RMT-078,11,0,3,8,3.00,
09-Aug-1900,ELEMEN GIGI UPPER T5 A2 ANTERIOR,Naperce,RMT-045,9,16,5,20,3.00,
10-Aug-1900,ELEMEN GIGI UPPER T6 A2 ANTERIOR,Naperce,RMT-048,8,14,2,20,1.00,
11-Aug-1900,ELEMEN GIGI UPPER S8 A2 ANTERIOR,Naperce,No Code,13,0,2,11,,
12-Aug-1900,ELEMEN GIGI UPPER S8 B1 ANTERIOR,Naperce,No Code,16,0,2,14,,
13-Aug-1900,ELEMEN GIGI UPPER S8 C3 ANTERIOR,Naperce,No Code,16,0,0,16,,
14-Aug-1900,ELEMEN GIGI UPPER T4 A3 ANTERIOR,Naperce,RMT-079,21,0,4,17,14.00,
15-Aug-1900,ELEMEN GIGI UPPER T4 A3.5 ANTERIOR,Naperce,RMT-111,13,0,4,9,7.00,
16-Aug-1900,ELEMEN GIGI UPPER T5 A3 ANTERIOR,Naperce,RMT-046,12,0,14,-2,4.00,
17-Aug-1900,ELEMEN GIGI UPPER T5 A3.5 ANTERIOR,Naperce,RMT-047,14,16,22,8,8.00,
18-Aug-1900,ELEMEN GIGI UPPER T6 A3 ANTERIOR,Naperce,RMT-049,11,15,3,23,13.00,
19-Aug-1900,ELEMEN GIGI UPPER S8 A3 ANTERIOR,Naperce,RMT-081,4,0,4,0,,
20-Aug-1900,ELEMEN GIGI UPPER S8 A3.5 ANTERIOR,Naperce,No Code,15,0,2,13,,
21-Aug-1900,ELEMEN GIGI UPPER S8 A4 ANTERIOR,Naperce,No Code,16,0,0,16,,
22-Aug-1900,ELEMEN GIGI UPPER T6 A3.5 ANTERIOR,Naperce,RMT-050,16,0,4,12,3.00,
23-Aug-1900,ELEMEN GIGI UPPER T6 A4 ANTERIOR,Naperce,RMT-125,19,0,2,17,3.00,
24-Aug-1900,ELEMEN GIGI UPPER T4 C3 ANTERIOR,Naperce,RMT-080,8,0,0,8,14.00,
25-Aug-1900,ELEMEN GIGI LOWER M34L A2 POSTERIOR,Naperce,RMT-057,8,8,3,13,15.00,
26-Aug-1900,ELEMEN GIGI LOWER M34L A3 POSTERIOR,Naperce,RMT-058,13,0,6,7,7.00,
27-Aug-1900,ELEMEN GIGI LOWER M34L A3.5 POSTERIOR,Naperce,RMT-059,6,8,5,9,2.00,
28-Aug-1900,ELEMEN GIGI LOWER M34L A4 POSTERIOR,Naperce,RMT-127,7,0,1,6,11.00,
29-Aug-1900,ELEMEN GIGI LOWER M34L A1 POSTERIOR,Naperce,RMT-135,2,11,2,11,0.00,
30-Aug-1900,ELEMEN GIGI LOWER M34L B1 POSTERIOR,Naperce,RMT-104,8,0,1,7,8.00,
31-Aug-1900,ELEMEN GIGI LOWER M36L A1 POSTERIOR,Naperce,No Code,12,0,1,11,,
01-Sep-1900,ELEMEN GIGI LOWER M36L A2 POSTERIOR,Naperce,No Code,12,0,1,11,,
02-Sep-1900,ELEMEN GIGI LOWER M33L A2 POSTERIOR,Naperce,RMT-063,7,0,2,5,0.00,
03-Sep-1900,ELEMEN GIGI LOWER M33L A3 POSTERIOR,Naperce,RMT-064,8,0,7,1,0.00,
04-Sep-1900,ELEMEN GIGI LOWER M33L A3.5 POSTERIOR,Naperce,RMT-065,0,0,0,0,3.00,
05-Sep-1900,ELEMEN GIGI LOWER M33L A4 POSTERIOR,Naperce,No Code,0,0,0,0,,
06-Sep-1900,ELEMEN GIGI LOWER M33L C3 POSTERIOR,Naperce,No Code,0,0,1,-1,,
07-Sep-1900,ELEMEN GIGI LOWER M30L A3.5 POSTERIOR,Naperce,RMT-086,33,0,1,32,24.00,
08-Sep-1900,ELEMEN GIGI LOWER M30L A2 POSTERIOR,Naperce,RMT-084,10,0,1,9,11.00,
09-Sep-1900,ELEMEN GIGI LOWER M30L A3 POSTERIOR,Naperce,RMT-085,7,0,2,5,10.00,
10-Sep-1900,ELEMEN GIGI LOWER M34L W.O5 POSTERIOR,Naperce,RMT-108,0,0,0,0,,
11-Sep-1900,ELEMEN GIGI LOWER M34L C4 POSTERIOR,Naperce,No Code,11,0,1,10,,
12-Sep-1900,ELEMEN GIGI LOWER M34L C3 POSTERIOR,Naperce,No Code,11,0,1,10,,
13-Sep-1900,ELEMEN GIGI UPPER M34U C4 POSTERIOR,Naperce,No Code,10,12,0,22,,
14-Sep-1900,ELEMEN GIGI UPPER M34U C3 POSTERIOR,Naperce,No Code,9,12,0,21,,
15-Sep-1900,ELEMEN GIGI UPPER M34U B1 POSTERIOR,Naperce,RMT-102,2,11,2,11,7.00,
16-Sep-1900,ELEMEN GIGI UPPER M34U A1 POSTERIOR,Naperce,RMT-133,11,0,2,9,6.00,
17-Sep-1900,ELEMEN GIGI UPPER M36U A1 POSTERIOR,Naperce,No Code,12,0,1,11,,
18-Sep-1900,ELEMEN GIGI UPPER M34U W.O5 POSTERIOR,Naperce,RMT-107,0,0,0,0,,
19-Sep-1900,ELEMEN GIGI UPPER M34U A2 POSTERIOR,Naperce,RMT-054,11,12,4,19,10.00,
20-Sep-1900,ELEMEN GIGI UPPER M33U A2 POSTERIOR,Naperce,RMT-060,0,11,0,11,7.00,
21-Sep-1900,ELEMEN GIGI UPPER M30U A2 POSTERIOR,Naperce,RMT-110,9,0,1,8,9.00,
22-Sep-1900,ELEMEN GIGI UPPER M36U A2 POSTERIOR,Naperce,No Code,10,0,0,10,,
23-Sep-1900,ELEMEN GIGI UPPER M30U A3 POSTERIOR,Naperce,RMT-082,9,10,0,19,4.00,
24-Sep-1900,ELEMEN GIGI UPPER M33U A3 POSTERIOR,Naperce,RMT-061,2,12,0,14,6.00,
25-Sep-1900,ELEMEN GIGI UPPER M34U A3 POSTERIOR,Naperce,RMT-055,9,12,20,1,1.00,
26-Sep-1900,ELEMEN GIGI UPPER M30U A3.5 POSTERIOR,Naperce,RMT-083,24,0,2,22,25.00,
27-Sep-1900,ELEMEN GIGI UPPER M34U A3.5 POSTERIOR,Naperce,RMT-056,1,23,6,18,3.00,
28-Sep-1900,ELEMEN GIGI UPPER M34U A4 POSTERIOR,Naperce,RMT-126,9,0,2,7,2.00,
29-Sep-1900,ELEMEN GIGI UPPER M33U A3.5 POSTERIOR,Naperce,RMT-062,12,0,3,9,0.00,
30-Sep-1900,Offline Clinic - Vita Lumex AC A2 452 Dentine,Vita,IMP-VLA2D,1,0,1,0,,
01-Oct-1900,Offline Clinic - Vita Lumex AC A3 453 Dentine,Vita,IMP-VLA3D,1,0,1,0,,
02-Oct-1900,Offline Clinic - Vita Lumex AC Clear 181 Enamel,Vita,IMP-VLCE181,1,0,0,1,,
03-Oct-1900,Offline Clinic - Vita Lumex AC Dark Red 238 Gingiva,Vita,IMP-VLDR238,1,0,0,1,,
04-Oct-1900,Offline Clinic - Vita Lumex AC Medium 192 Enamel,Vita,IMP-VLME192,1,0,0,1,,
05-Oct-1900,Offline Clinic - Vita Lumex AC Nectarine 233 Gingiva,Vita,IMP-VLNG233,1,0,1,0,,
06-Oct-1900,Offline Clinic - Gas Blow Torch Portable,No Brand,IMP-GBTP11,3,0,0,3,,
07-Oct-1900,Offline Clinic - Ceramage Modelling Liquid 6ml SHOFU,Shofu,IMP-CMLS6,1,0,0,1,,
08-Oct-1900,Offline Clinic - Vintage Art Universal Stains W White Shofu,Shofu,IMP-VAUW1,1,0,1,0,,
09-Oct-1900,Offline Clinic - Vintage Art Universal Stains O-Br Orange Brown Shofu,Shofu,IMP-VAUOBR1,1,0,0,1,,
10-Oct-1900,Offline Clinic - Vintage Art Universal Stains B Black Shofu,Shofu,IMP-VAUB1,1,0,0,1,,
26-Oct-1900,Offline Clinic - Vintage Art Universal Stains K Khaki Shofu,Shofu,IMP-VAUK1,1,0,0,1,,
12-Oct-1900,Offline Clinic - IPS Ivocolor Essence E03 Lemon For Veneer,ivoclar,VNR-032,1,0,0,1,,
13-Oct-1900,Offline Clinic - IPS Ivocolor Essence E16 Sapphire For Veneer,ivoclar,VNR-045,1,0,1,0,,
14-Oct-1900,Offline Clinic - IPS Ivocolor Essence E19 Rose,ivoclar,VNR-048,1,0,0,1,,
15-Oct-1900,Offline Clinic - IPS Ivocolor Glaze Powder Fluo,ivoclar,VNR-054,2,0,1,1,,
16-Oct-1900,Offline Clinic - Vita Lumex AC A1 451 Dentine,Vita,IMP-VLAD1451,1,0,1,0,,
17-Oct-1900,Offline Clinic - Vita Lumex AC Light 191 Enamel,Vita,IMP-VLLE191,1,0,1,0,,
18-Oct-1900,Offline Clinic - Vita Lumex AC Light Rose 232 Gingiva,Vita,IMP-VLLG232,1,0,1,0,,
19-Oct-1900,Predator Diamond bur Z856-018M,Predator,No Code,2,0,2,0,,
20-Oct-1900,Predator Diamond bur Z856-018F,Predator,No Code,3,0,2,1,,
21-Oct-1900,Predator Diamond bur Z801-018M,Predator,No Code,3,0,0,3,,
22-Oct-1900,Predator Diamond bur Z801-018F,Predator,No Code,3,0,0,3,,
23-Oct-1900,Predator Diamond bur Z807-018M,Predator,No Code,1,0,1,0,,
24-Oct-1900,Predator Diamond bur Z807-018F,Predator,No Code,3,0,2,1,,
25-Oct-1900,Predator Diamond bur Z368-023M,Predator,No Code,4,0,0,4,,
26-Oct-1900,Predator Diamond bur Z368-023F,Predator,No Code,4,0,0,4,,
27-Oct-1900,Offline Clinic - Gingiva Resin 20ml Bright Red,No Brand,IMP-GRBR20,1,0,0,1,,
28-Oct-1900,Offline Clinic - Vintage Art Universal GP-F Glazing Powder Flou Shofu (50 gr),Shofu,IMP-VAUGPF1,1,0,0,1,,
29-Oct-1900,Offline Clinic - Chill Mould Sealent,,IMP-CMSL,0,1,0,1,,
30-Oct-1900,Offline Clinic - Self Cure Acrylic - Liquid,,IMP-SCAL,0,5,5,0,,
31-Oct-1900,Offline Clinic - Base plate wax,,CDM-0261,0,2,2,0,,
01-Nov-1900,Offline Clinic - Vintage Art Universal Stains DR Dark Red Brown Shofu,,IMP-VAUDRB1,0,1,0,1,,
02-Nov-1900,Offline Clinic - Vintage Art Universal Yamamoto Liquid 50ml SHOFU,,IMP-VAYL50,0,1,0,1,,
03-Nov-1900,Plastik for Retainer Splint RATA 1.0MM (TANAM),,PK22-IMP,0,40,40,0,4.00,
04-Nov-1900,Offline Clinic - Vintage Art Universal Stains Y Yellow Shofu,,IMP-VAUY1,0,1,1,0,,
,Offline Clinic - Self Cure Acrylic - Powder,,IMP-SCAP,0,3,3,0,,